District,Congressman,20220725,20220726,20220801,20220803,20220808,20220809,20220810,20220815,20220816,20220817,20220822,20220823,20220824,20220830,20220831,20220905,20220906,20220907,20220912,20220913,20220914,20220919,20220920,20221107,20221108,20221109,20221114,20221115,20221116,20221121,20221122,20221123,20221128,20221129,20221205,20221206,20221207,20221212,20221213,20221214,20221215,20230123,20230124,20230125,20230130,20230131,20230201,20230206,20230207,20230208,20230213,20230214,20230215,20230220,20230221,20230222,20230228,20230301,20230306,20230307,20230308,20230313,20230314,20230315,20230320,20230321,20230322,20230327,20230508,20230509,20230510,20230515,20230516,20230517,20230522,20230523,20230524,20230529,20230530,20230531,20230724,20230725,20230726,20230731,20230801,20230802,20230807,20230808,20230814,20230815,20230816,20230822,20230823,20230829,20230830,20230904,20230905,20230906,20230911,20230912,20230913,20230918,20230919,20230925,20230926,20230927,20231106,20231107,20231108,20231113,20231114,20231115,20231120,20231121,20231122,20231128,20231204,20231205,20231206,20231212,20231213,20240122,20240123,20240124,20240129,20240130,20240131,20240205,20240206,20240212,20240213,20240214,20240219,20240220,20240226,20240227,20240305,20240306,20240311,20240312,20240313,20240318,20240429,20240430,20240506,20240507,20240513,20240514,20240520,20240722,20240730,20240731,20240805,20240806,20240807,20240812,20240813,20240814,20240827,20240902,20240903,20240909,20240910,20240911,20240915,20240922,20241103,20241104,20241110,20241112,20241117,20241124,20241125,20241201,20241202,20241208,20241215,20241219,20250112,20250113,20250120,20250121,20250122,20250127,20250202,20250602,20250603,20250609
1,ABALOS,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,**,Suspended,**,Present,Present,Present,Present,**,**,Present,Present,Present,**,Present,**,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,**,Present,Present,Present,Present,**,Present,No Data,Present,Present,Present,Present,*,Present,Present,Present,Present,Present,Present,****,Present,Present,Present,****,Present,Present,Present,Present,Present,*,Present,Present,*,Present,*,Present,Present,Present,****,**,**,**,Present,****,****,****,*,*,*,Present,*,Present,**,Present,Present,Present,Present,Present,*,*,*,Present,Present,Present,Present,Present,Present,Present,Present,*,**,Present,Present,Present,**,*,No Data,Present,*,**,Present,****,****,*,Present,***,Suspended,*,Present,*,**,*,Present,**,**,*,Present,Present,Present,**,Present,*,Present,*,*,Present,*,*,*,*,Present,*,Present,Present,Present
2,ABANTE,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,**,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,**,Present,Present,No Data,No Data,Present,Present,Present,Present,**,Present,**,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,No Data,Present,Present,*,Present,*,****,*,**,**,Present,****,****,*,Present,*,****,****,****,**,*,*,*,Present,Present,Present,Present,Present,****,Present,****,**,Present,*,****,*,****,**,****,Present,*,****,****,****,****,****,****,****,****,**,**,**,**,**,Present,*,****,****,**,**,**,**,*,**,**,**,Present,*,**,No Data,****,****,*,*,Present,Present,**,**,*,Suspended,**,*,**,****,*,**,*,**,*,**,Present,**,**,****,Present,Present,*,**,Present,****,*,**,**,**,*,****,****,**
3,ABUNDA,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,Present,Present,Present,Present,**,Present,*,Present,Present,Present,*,Present,Present,Present,**,**,**,**,**,**,Present,Present,Present,Present,Present,****,****,****,Present,Present,****,****,Present,****,Present,Present,Present,Present,Present,Present,**,**,**,Present,*,Present,Present,Present,Present,***,***,Present,Present,Present,*,Present,*,***,***,***,**,Present,Present,Present,Present,Present,*,Present,No Data,****,****,Present,Present,Present,****,****,*,****,Suspended,Present,Present,Present,*,Present,*,Present,Present,**,Present,Present,****,****,Present,Present,Present,Present,Present,Present,Present,Present,****,Present,Present,Present,****,****,****
4,ACHARON,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,**,**,Present,Present,Present,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,***,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,****,Present,Present,Present,Present,Present,No Data,Present,Present,Present,****,Present,**,**,**,**,Suspended,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,*,Present,Present,Present,Present,Present,Present,Present,Present,**,***,***,***
5,ACIDRE,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,**,**,Present,Present,Present,Present,Present,**,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,*,Present,Present,**,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,**
6,ACOP,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,**,Suspended,Present,Present,**,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,No Data,Present,**,Present,Present,Present,**,*,Present,Present,Present,**,Present,**,**,****,*,****,**,**,****,*,*,Present,Present,Present,Present,**,****,****,*,*,Present,Present,Present,Present,*,**,*,Present,Present,****,****,**,Present,**,Present,*,*,*,**,*,**,*,Present,Present,Present,****,**,**,****,*,*,**,****,*,**,*,*,No Data,Present,**,****,****,Present,Present,**,**,**,Suspended,**,Present,****,**,**,*,****,**,**,**,**,Present,**,Present,*,**,*,**,Present,**,Present,**,**,**,**,Present,*,**
7,ADIONG,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,Present,Present,Present,****,Present,Present,Present,Present,Present,Present,Present,Present,*,****,Present,Present,*,*,Present,*,****,*,Present,Present,*,Present,Present,Present,Present,*,****,Present,*,Present,Present,*,**,**,Present,*,Present,Present,Present,****,**,Present,*,Present,Present,Present,*,Present,*,Present,Present,Present,Present,Present,**,*,*,Present,*,Present,Present,Present,**,Present,No Data,*,****,Present,*,**,Present,****,*,**,Suspended,**,****,Present,**,Present,Present,Present,**,*,**,Present,Present,**,Present,Present,Present,Present,**,*,*,*,**,Present,Present,**,Present,Present,**
8,ADVINCULA,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,Present,**,**,**,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,Present,Present,****,**,Present,Present,Present,*,****,Present,Present,*,*,Present,**,**,**,*,Present,*,*,*,Present,Present,*,*,Present,*,*,*,****,*,*,*,Present,****,Present,****,Present,Present,***,***,***,Present,****,Present,Present,Present,Present,*,*,****,***,***,*,***,***,***,***,***,***,*,Present,****,****,Present,****,*,No Data,****,*,****,****,****,****,Present,*,**,Suspended,**,***,**,**,*,*,*,*,*,****,*,*,Present,****,Present,****,*,****,****,Present,****,Present,*,Present,***,***,***,Present
9,AGARAO,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,**,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,Present,Present,Present,Present,Present,*,Present,Present,*,Present,Present,Present,*,****,Present,**,**,Present,*,**,*,*,Present,Present,Present,Present,*,*,Present,Present,**,Present,Present,*,*,*,Present,****,Present,*,*,*,**,Present,*,Present,*,*,Present,Present,*,Present,Present,Present,Present,Present,Present,Present,****,*,Present,Present,****,Present,*,*,Present,*,No Data,*,*,****,*,Present,Present,Present,Present,Present,Suspended,*,***,***,***,*,*,*,Present,*,Present,Present,*,Present,Present,Present,Present,Present,****,Present,Present,Present,Present,Present,Present,Present,Present,*,*
10,ALBA,No Data,No Data,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Suspended,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,No Data,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,No Data,Present,Present,**,**,**,**,**,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,*,Present,Present,Present,**,**,**,Present,****,****,*,**,**,**,**,Present,Present,Present,Present,Present,Present,Present,*,*,Present,Present,****,Present,Present,**,**,Present,Present,Present,Present,*,**,**,**,Present,Present,Present,Present,*,No Data,Present,Present,Present,Present,Present,**,**,**,Present,Suspended,Present,**,**,**,Present,Present,****,Present,Present,Present,**,****,*,Present,Present,*,Present,**,Present,*,Present,Present,*,*,Present,Present,Present,Present
